Game 1, max: Pixel(r=3, g=6, b=5), power: 90
Game 2, max: Pixel(r=9, g=13, b=2), power: 234
Game 3, max: Pixel(r=9, g=2, b=4), power: 72
Game 4, max: Pixel(r=11, g=4, b=18), power: 792
Game 5, max: Pixel(r=16, g=6, b=1), power: 96
Game 6, max: Pixel(r=9, g=19, b=6), power: 1026
Game 7, max: Pixel(r=6, g=9, b=16), power: 864
Game 8, max: Pixel(r=10, g=6, b=17), power: 1020
Game 9, max: Pixel(r=3, g=4, b=6), power: 72
Game 10, max: Pixel(r=10, g=5, b=6), power: 300
Game 11, max: Pixel(r=13, g=12, b=2), power: 312
Game 12, max: Pixel(r=3, g=3, b=11), power: 99
Game 13, max: Pixel(r=6, g=8, b=2), power: 96
Game 14, max: Pixel(r=2, g=3, b=12), power: 72
Game 15, max: Pixel(r=6, g=7, b=8), power: 336
Game 16, max: Pixel(r=7, g=3, b=16), power: 336
Game 17, max: Pixel(r=11, g=3, b=10), power: 330
Game 18, max: Pixel(r=1, g=10, b=9), power: 90
Game 19, max: Pixel(r=2, g=12, b=5), power: 120
Game 20, max: Pixel(r=4, g=13, b=19), power: 988
Game 21, max: Pixel(r=10, g=8, b=18), power: 1440
Game 22, max: Pixel(r=8, g=2, b=17), power: 272
Game 23, max: Pixel(r=19, g=4, b=4), power: 304
Game 24, max: Pixel(r=10, g=17, b=4), power: 680
Game 25, max: Pixel(r=4, g=10, b=5), power: 200
Game 26, max: Pixel(r=3, g=18, b=12), power: 648
Game 27, max: Pixel(r=8, g=15, b=15), power: 1800
Game 28, max: Pixel(r=4, g=14, b=1), power: 56
Game 29, max: Pixel(r=13, g=16, b=8), power: 1664
Game 30, max: Pixel(r=7, g=4, b=5), power: 140
Game 31, max: Pixel(r=1, g=9, b=2), power: 18
Game 32, max: Pixel(r=17, g=8, b=10), power: 1360
Game 33, max: Pixel(r=4, g=1, b=10), power: 40
Game 34, max: Pixel(r=4, g=2, b=3), power: 24
Game 35, max: Pixel(r=14, g=9, b=13), power: 1638
Game 36, max: Pixel(r=12, g=8, b=20), power: 1920
Game 37, max: Pixel(r=11, g=10, b=3), power: 330
Game 38, max: Pixel(r=3, g=8, b=5), power: 120
Game 39, max: Pixel(r=20, g=7, b=5), power: 700
Game 40, max: Pixel(r=4, g=16, b=3), power: 192
Game 41, max: Pixel(r=15, g=10, b=10), power: 1500
Game 42, max: Pixel(r=5, g=6, b=10), power: 300
Game 43, max: Pixel(r=3, g=11, b=15), power: 495
Game 44, max: Pixel(r=16, g=15, b=7), power: 1680
Game 45, max: Pixel(r=1, g=8, b=3), power: 24
Game 46, max: Pixel(r=18, g=6, b=17), power: 1836
Game 47, max: Pixel(r=19, g=8, b=8), power: 1216
Game 48, max: Pixel(r=9, g=7, b=9), power: 567
Game 49, max: Pixel(r=4, g=3, b=3), power: 36
Game 50, max: Pixel(r=7, g=4, b=7), power: 196
Game 51, max: Pixel(r=15, g=18, b=1), power: 270
Game 52, max: Pixel(r=1, g=3, b=18), power: 54
Game 53, max: Pixel(r=9, g=8, b=6), power: 432
Game 54, max: Pixel(r=16, g=2, b=10), power: 320
Game 55, max: Pixel(r=16, g=1, b=4), power: 64
Game 56, max: Pixel(r=2, g=12, b=16), power: 384
Game 57, max: Pixel(r=5, g=13, b=1), power: 65
Game 58, max: Pixel(r=5, g=6, b=9), power: 270
Game 59, max: Pixel(r=16, g=5, b=6), power: 480
Game 60, max: Pixel(r=4, g=2, b=3), power: 24
Game 61, max: Pixel(r=9, g=2, b=12), power: 216
Game 62, max: Pixel(r=2, g=12, b=7), power: 168
Game 63, max: Pixel(r=9, g=2, b=6), power: 108
Game 64, max: Pixel(r=5, g=3, b=6), power: 90
Game 65, max: Pixel(r=7, g=1, b=4), power: 28
Game 66, max: Pixel(r=3, g=15, b=11), power: 495
Game 67, max: Pixel(r=6, g=4, b=2), power: 48
Game 68, max: Pixel(r=8, g=1, b=2), power: 16
Game 69, max: Pixel(r=10, g=1, b=15), power: 150
